CORR.,Brand,Model.Number,BrandModel,Price,Photo,Engine.Type,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Air.Conditioner,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Leather.Seats,Anti.Lock.Braking,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Night.Rear.View.Mirror,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Smoke.Headlamps,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Voice.Control,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp,Radio,Outside.Temperature.Display,Fog.Lights.Front...Back,Centrally.Mounted.Fuel.Tank,CD.Player,DVD.Player,Electric.Adjustable.Seats,Keyless.Entry,Tyre.Pressure.Monitor,Smart.Access.Card.Entry,Xenon.Headlamps,Halogen.Headlamps,Removable.Convertible.Top,Cassette.Player
2488,MG,ZS EV 2022,MGZS EV 2022,29010,https://www.ccarprice.com/products/MG_ZS_EV_2022.jpg,Yes: Electric Motor: Single Motor  Electric Range: 370 miles,SUV,Electric,Automatic,NA,NA,NA,NA,,0,0,5,NA,65,173,72,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,Yes,,,Yes,,,Yes,,,,,,,
2489,MG,MG Astor,MGMG ASTOR,12890,https://www.ccarprice.com/products/MG_Astor.jpg,220TURBO,SUV,Petrol,Automatic,NA,NA,NA,4,,40,47,5,5,66,173,72,103,8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,Yes,,,,,
2490,MG,MG Baojun 510,MGMG BAOJUN 510,14500,https://www.ccarprice.com/products/MG_Baojun_510.jpg,TBC,SUV,Diesel,Automatic,NA,NA,NA,4,,NA,NA,5,5,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,
2491,MG,MG Gloster,MGMG GLOSTER,39540,https://www.ccarprice.com/products/MG_Gloster.jpg,Diesel 2.0 Twin Turbo,SUV,Diesel,Automatic,NA,2,NA,4,all,22,NA,6,5,75,199,77,118,8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,,Yes,,,,,
2492,MG,MG G10,MGMG G10,32970,https://www.ccarprice.com/products/MG_G10.jpg,TBC,SUV,Diesel,Manual,NA,NA,NA,4,all,33,33,9,5,77,207,79,128,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,,,,Yes,,,Yes,,,Yes,,Yes,,,,,
2493,MG,Hector Plus,MGHECTOR PLUS,20280,https://www.ccarprice.com/products/MG_Hector_Plus_1.jpg,2.0 L Turbocharged Diesel,SUV,Diesel,Manual,NA,2,NA,4,,38,38,6,5,70,189,73,110,8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,,,,Yes,,,Yes,,,Yes,,,,,,,
2494,MG,Marvel X,MGMARVEL X,39460,https://www.ccarprice.com/products/MG_Marvel_X.jpg,2.0 L Turbocharged Diesel,SUV,Diesel,Manual,NA,2,NA,4,front,31,47,5,5,70,186,73,110,8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,Yes,,,Yes,,,Yes,,,Yes,,,,,,,
2495,MG,Hector,MGHECTOR,17740,https://www.ccarprice.com/products/MG_Hector.jpg,2.0 L Turbocharged Diesel,SUV,Diesel,Manual,NA,2,NA,4,front,31,47,5,5,70,186,73,110,8,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,,
2496,MG,3 2022,MG3 2022,12480,https://www.ccarprice.com/products/MG_3_2022_1.jpg,1498 cc,Hatchback,Petrol,Manual,110,NA,150,4,front,21,23,5,4,60,162,69,NA,5,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,
2497,MG,3 2021,MG3 2021,12780,https://www.ccarprice.com/products/MG_3_2021.jpg,1498 cc,Hatchback,Petrol,Manual,110,NA,150,4,front,21,23,5,4,60,162,69,NA,5,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,
2498,MG,ZS EV Exclusive 2020,MGZS EV EXCLUSIVE 2020,28260,https://www.ccarprice.com/products/MG-ZS-EV-Exclusive-2020.jpg,Electric,SUV,Petrol,Automatic,NA,NA,NA,4,front,NA,NA,5,4,65,173,72,103,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,
2499,MG,ZS EV Excite 2020,MGZS EV EXCITE 2020,25260,https://www.ccarprice.com/products/MG-ZS-EV-Excite-2020.jpg,Electric,,Petrol,Automatic,NA,NA,NA,4,front,NA,NA,5,4,65,173,72,103,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,
2500,MG,E-Motion 2021,MGE-MOTION 2021,37000,https://www.ccarprice.com/products/MG-e-Motion-2021.jpg,Electric Engine,Coupe,Electric,Automatic,NA,NA,NA,NA,,0,0,4,2,NA,NA,NA,NA,NA,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,,,,
2501,MG,Hector Sharp Hybrid 2019,MGHECTOR SHARP HYBRID 2019,27300,https://www.ccarprice.com/products/MG_Hector_Sharp_Hybrid.jpg,1.5L Turbocharged Intercooled With Belt Starter Generator,SUV,Petrol,Manual,141,1.5,250,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,
2502,MG,Hector Smart Hybrid 2019,MGHECTOR SMART HYBRID 2019,25200,https://www.ccarprice.com/products/MG_Hector_Smart_Hybrid.jpg,1.5L Turbocharged Intercooled With Belt Starter Generator,SUV,Petrol,Manual,141,1.5,250,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,
2503,MG,Hector Super Hybrid 2019,MGHECTOR SUPER HYBRID 2019,23300,https://www.ccarprice.com/products/MG-Hector-Super-Hybrid.jpg,1.5L Turbocharged Intercooled With Belt Starter Generator,SUV,Petrol,Manual,141,1.5,250,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,
2504,MG,Hector Sharp Diesel 2019,MGHECTOR SHARP DIESEL 2019,29200,https://www.ccarprice.com/products/MG_Hector_Sharp_Diesel.jpg,2.0L Turbocharged Diesel,SUV,Diesel,Manual,168,2,350,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,
2505,MG,Hector Smart Diesel 2019,MGHECTOR SMART DIESEL 2019,26800,https://www.ccarprice.com/products/MG-Hector-Smart-Diesel.jpg,2.0L Turbocharged Diesel,SUV,Diesel,Manual,168,2,350,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,
2506,MG,Hector Super Diesel 2019,MGHECTOR SUPER DIESEL 2019,24600,https://www.ccarprice.com/products/MG-Hector-Super-Diesel.jpg,2.0L Turbocharged Diesel,SUV,Diesel,Manual,168,2,350,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,
2507,MG,Hector Style Diesel 2019,MGHECTOR STYLE DIESEL 2019,22900,https://www.ccarprice.com/products/MG-Hector-Style-Diesel.jpg,2.0L Turbocharged Diesel,SUV,Diesel,Manual,168,2,350,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,,,
2508,MG,Hector Sharp Petrol 2019,MGHECTOR SHARP PETROL 2019,28800,https://www.ccarprice.com/products/MG_Hector_Sharp_Petrol.jpg,1.5L Turbocharged Intercooled,SUV,Petrol,Automatic,141,1.5,250,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,
2509,MG,Hector Smart Petrol,MGHECTOR SMART PETROL,26200,https://www.ccarprice.com/products/MG-Hector-Smart-Petrol.jpg,1.5L Turbocharged Intercooled,SUV,Petrol,Automatic,141,1.5,250,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,
2510,MG,Hector Super Petrol 2019,MGHECTOR SUPER PETROL 2019,22300,https://www.ccarprice.com/products/MG_Hector_Super_Petrol.jpg,1.5L Turbocharged Intercooled,SUV,Petrol,Manual,141,1.5,250,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,
2511,MG,Hector Style Petrol 2019,MGHECTOR STYLE PETROL 2019,20900,https://www.ccarprice.com/products/MG-Hector-Style-Petrol.jpg,1.5L Turbocharged Intercooled,SUV,Petrol,Manual,141,1.5,250,4,front,NA,NA,5,4,70,186,73,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,,,
2512,MG,6 1.5 T 7TST Aplha,MG6 1.5 T 7TST APLHA,23600,https://www.ccarprice.com/products/MG_6_1.5_T_7TST_Aplha_2019.png,,Sedan,Petrol,Automatic,166,NA,185,4,front,NA,NA,5,4,58,188,74,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,
2513,MG,6 1.5 T 7TST Trophy,MG6 1.5 T 7TST TROPHY,24900,https://www.ccarprice.com/products/MG-6-1.5-T_7TST-Trophy-2019.png,,Sedan,Petrol,Automatic,166,NA,185,4,front,NA,NA,5,4,58,188,74,110,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,
2514,MG,RX5 1.5 MT Core,MGRX5 1.5 MT CORE,20400,https://www.ccarprice.com/products/MG-RX5-1.5-MT-Core-2019.png,,SUV,Petrol,Automatic,169,NA,185,4,front,NA,NA,5,5,69,182,74,108,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,
2515,MG,RX5 1.5 AT Style,MGRX5 1.5 AT STYLE,23700,https://www.ccarprice.com/products/MG-RX5-1.5-AT-Style-2019.png,,SUV,Petrol,Automatic,169,NA,185,4,front,NA,NA,5,5,69,182,74,108,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,
2516,MG,ZS 1.5 MT Style,MGZS 1.5 MT STYLE,17800,https://www.ccarprice.com/products/MG-ZS-1.5-MT-Style-2019.png,1.5 L,SUV,Petrol,Automatic,114,1.5,111,4,front,NA,NA,5,5,66,173,72,103,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,
2517,MG,ZS 1.5 AT Style,MGZS 1.5 AT STYLE,18700,https://www.ccarprice.com/products/MG-ZS-1.5-AT-Style-2019.png,1.5 L,SUV,Petrol,Automatic,114,1.5,111,4,front,NA,NA,5,5,66,173,72,103,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,
2518,MG,ZS 1.5 AT Alpha,MGZS 1.5 AT ALPHA,19300,https://www.ccarprice.com/products/MG-ZS-1.5-AT-Alpha-2019.png,,SUV,Petrol,Automatic,114,NA,111,4,front,NA,NA,5,5,66,173,72,103,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,
2519,MG,MG360 STD,MGMG360 STD,10750,https://www.ccarprice.com/products/MG_MG360_STD.jpg,,Sedan,Petrol,Automatic,105,NA,100,4,front,NA,NA,5,4,60,183,72,106,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,,Yes,Yes,,No,No,No,No
2520,MG,MG GS Lux,MGMG GS LUX,20410,https://www.ccarprice.com/products/MG_MG_GS_Lux.jpg,,SUV,Petrol,Automatic,220,NA,350,4,all,NA,NA,5,5,68,180,74,106,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
2521,MG,MG350 COM,MGMG350 COM,10750,https://www.ccarprice.com/products/MG_MG350_COM.jpg,,Coupe,Petrol,Automatic,106,NA,100,4,front,NA,NA,5,4,60,181,72,106,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,No,,No,Yes,No,No
2522,MG,MG6 G.Deluxe,MGMG6 G.DELUXE,17010,https://www.ccarprice.com/products/MG_MG6_G.Deluxe.jpg,,Coupe,Petrol,Automatic,160,NA,1491,4,front,NA,NA,5,4,59,186,73,108,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,No,No,No,No
2523,MG,MG5 Lux,MGMG5 LUX,13340,https://www.ccarprice.com/products/MG_MG5_Lux.jpg,,Hatchback,Petrol,Automatic,126,NA,155,4,front,NA,NA,5,5,60,175,72,106,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
2524,Skoda,Karoq Sportline 2023,SKODAKAROQ SPORTLINE 2023,33000,https://www.ccarprice.com/products/Skoda_Karoq_Sportline_2023.jpg,2.0-litre turbo-petrol making 140kW and 320Nm (from 1500rpm),SUV,Petrol,Automatic,NA,2,NA,NA,,NA,NA,5,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,Yes,,Yes,,,Yes,,,
2525,Skoda,Kushaq Anniversary Edition 2023,SKODAKUSHAQ ANNIVERSARY EDITION 2023,18800,https://www.ccarprice.com/products/Skoda_Kushaq_Anniversary_Edition_2023.jpg,1.5 TSI Petrol,SUV,Petrol,Manual,NA,1.5,NA,4,front,37,45,5,5,64,169,70,106,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2526,Skoda,Superb 2023,SKODASUPERB 2023,52290,https://www.ccarprice.com/products/Skoda_Superb_2023.jpg,2.0 TSI,Wagon,Petrol,Automatic,280,2,NA,4,all,NA,NA,7,5,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2527,Skoda,Kushaq 1.0 TSI Monte Carlo 2022,SKODAKUSHAQ 1.0 TSI MONTE CARLO 2022,20440,https://www.ccarprice.com/products/Skoda_Kushaq_1_0_TSI_Monte_Carlo_2022.jpg,1.0 TSI Petrol,SUV,Petrol,Manual,NA,1,NA,3,front,13,18,5,5,64,169,70,106,6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2528,Skoda,Kushaq 1.0 TSI Style 6 Airbags AT 2022,SKODAKUSHAQ 1.0 TSI STYLE 6 AIRBAGS AT 2022,21710,https://www.ccarprice.com/products/Skoda_Kushaq_1_0_TSI_Style_6_Airbags_AT_2022.jpg,1.0 TSI Petrol,SUV,Petrol,Automatic,NA,1,NA,3,front,13,17,5,5,64,169,70,106,6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2529,Skoda,Kushaq 1.0 TSI Monte Carlo AT 2022,SKODAKUSHAQ 1.0 TSI MONTE CARLO AT 2022,22610,https://www.ccarprice.com/products/Skoda_Kushaq_1_0_TSI_Monte_Carlo_AT_2022.jpg,1.0 TSI Petrol,SUV,Petrol,Automatic,NA,1,NA,3,front,13,18,5,5,64,169,70,106,6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2530,Skoda,Kushaq 1.5 TSI Style 2022,SKODAKUSHAQ 1.5 TSI STYLE 2022,21970,https://www.ccarprice.com/products/Skoda_Kushaq_1_5_TSI_Style_2022.jpg,1.0 TSI Petrol,SUV,Petrol,Manual,NA,1,NA,4,front,13,18,5,5,64,169,70,106,6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
2531,Skoda,Kushaq 1.5 TSI Style DSG 2022,SKODAKUSHAQ 1.5 TSI STYLE DSG 2022,22740,https://www.ccarprice.com/products/Skoda_Kushaq_1_5_TSI_Style_DSG_2022.jpg,1.0 TSI Petrol,SUV,Petrol,Manual,NA,1,NA,4,front,13,18,5,5,64,169,70,106,6,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,
